===== m2_t1.0_rig =====
E6* base: 56 admissible glues at m=2, index 686
t=1.0 index=686: deep-hole start d=0.5976143 diam=2.645751 (rigorous 2.645751, threshold sqrt7=2.645751)
[1265s] m2_t1.05_meas done
===== m2_t1.15_meas =====
E6* base: 56 admissible glues at m=2, index 686
t=1.15 index=686: deep-hole start d=0.6208509 diam=2.706012 (rigorous 2.706012, threshold sqrt7=2.645751)
  eval 2: d=0.6302449 diam=2.615557 glue=(0, 5, 4) [2s]
  eval 6: d=0.6415301 diam=2.627433 glue=(1, 6, 4) [3s]
  eval 10: d=0.6463722 diam=2.620536 glue=(3, 5, 0) [5s]
  eval 13: d=0.6536327 diam=2.612535 glue=(3, 2, 6) [6s]
  eval 26: d=0.6746363 diam=2.604087 glue=(3, 2, 6) [12s]
    [heartbeat] 48 evaluations, best 0.6746363, 21s
    [heartbeat] 96 evaluations, best 0.6746363, 42s
    [heartbeat] 144 evaluations, best 0.6746363, 62s
  eval 157: d=0.6747205 diam=2.608307 glue=(2, 2, 3) [68s]
  eval 160: d=0.6773541 diam=2.604319 glue=(6, 3, 2) [69s]
    [heartbeat] 192 evaluations, best 0.6773541, 83s
  eval 233: d=0.6833977 diam=2.609465 glue=(6, 1, 1) [101s]
    [heartbeat] 240 evaluations, best 0.6833977, 104s
    [heartbeat] 288 evaluations, best 0.6833977, 124s
    [heartbeat] 336 evaluations, best 0.6833977, 145s
    [heartbeat] 384 evaluations, best 0.6833977, 165s
    [heartbeat] 432 evaluations, best 0.6833977, 186s
    [heartbeat] 480 evaluations, best 0.6833977, 206s
    [heartbeat] 528 evaluations, best 0.6833977, 226s
    [heartbeat] 576 evaluations, best 0.6833977, 247s
    [heartbeat] 624 evaluations, best 0.6833977, 267s
  eval 650: d=0.6878806 diam=2.580726 glue=(3, 2, 3) [278s]
    [heartbeat] 672 evaluations, best 0.6878806, 287s
  eval 680: d=0.6965633 diam=2.576695 glue=(1, 2, 6) [291s]
    [heartbeat] 720 evaluations, best 0.6965633, 307s
    [heartbeat] 768 evaluations, best 0.6965633, 328s
    [heartbeat] 816 evaluations, best 0.6965633, 348s
    [heartbeat] 864 evaluations, best 0.6965633, 369s
    [heartbeat] 912 evaluations, best 0.6965633, 389s
    [heartbeat] 960 evaluations, best 0.6965633, 409s
  [budget] stop after 996 evaluations
[1690s] m2_t1.15_meas done
ГОТОВО
